size,mem1_us,sfi_us,sfi_over_mem1
geomean_ratio,,,1.4547887923327572
1,32.047,29.208,0.9114113645583051
2,30.672,28.348,0.9242305685967658
4,30.946,28.769,0.9296516512634911
8,31.676,28.633,0.9039335774719031
16,31.801,28.517,0.8967328071444295
32,31.406,28.629,0.9115774055912884
64,31.497,29.588,0.9393910531161699
128,31.956,30.203,0.9451433220678432
256,31.81,30.939,0.9726186733731531
512,32.667,32.688,1.0006428505831573
1024,34.366,37.584,1.0936390618634697
2048,36.31,44.573,1.2275681630404847
4096,42.045,61.641,1.4660720656439528
8192,52.32,95.939,1.8336964831804279
16384,75.584,162.272,2.1469093988145636
32768,117.08,296.889,2.535778954560984
65536,201.425,540.141,2.6815986099044307
131072,357.281,1154.555,3.231504054231823
262144,684.487,2169.596,3.1696672106263524
524288,1332.51,4290.268,3.219689158055099
1048576,2733.497,,
2097152,5439.827,16423.149,3.019057223694798
