size,mem1_us,sfi_us,sfi_over_mem1
geomean_ratio,,,1.3927839393498276
1,36.683,33.522,0.9138292942234822
2,35.139,31.834,0.905944961438857
4,34.479,31.604,0.9166159111343136
8,36.219,31.812,0.8783235318479251
16,35.752,31.672,0.8858805101812486
32,35.828,33.189,0.9263425253991291
64,36.564,34.979,0.9566513510556831
128,37.523,36.919,0.9839032060336326
256,38.339,39.073,1.0191449959571195
512,39.566,42.278,1.0685436991356214
1024,41.675,48.459,1.162783443311338
2048,47.037,62.203,1.322427025533091
4096,58.241,88.673,1.5225185007125566
8192,81.901,138.761,1.6942528174259166
16384,124.879,241.736,1.935761817439281
32768,188.408,393.307,2.087528130440321
65536,312.895,673.404,2.152172454018121
131072,565.577,1380.82,2.441435914119563
262144,1089.573,2674.464,2.4545982692302393
524288,2135.983,5284.926,2.4742359840878883
1048576,4431.708,10273.863,2.3182626201906804
2097152,8861.119,19509.18,2.2016609866090273
