file,variant,run,png_bytes,decoded_bytes,width,height,us,compression_ratio,ret
abstract-shape-3d-glass-object.png,mem0,0,1021109,13112000,2000,1639,94835.044,0.077876,0
abstract-shape-3d-glass-object.png,mem0,1,1021109,13112000,2000,1639,68119.904,0.077876,0
abstract-shape-3d-glass-object.png,mem0,2,1021109,13112000,2000,1639,63521.555,0.077876,0
abstract-shape-3d-glass-object.png,mem0,3,1021109,13112000,2000,1639,63051.780,0.077876,0
abstract-shape-3d-glass-object.png,mem0,4,1021109,13112000,2000,1639,64324.208,0.077876,0
debian-logo.png,mem0,0,1206,9216,48,48,87.258,0.130859,0
debian-logo.png,mem0,1,1206,9216,48,48,83.228,0.130859,0
debian-logo.png,mem0,2,1206,9216,48,48,103.805,0.130859,0
debian-logo.png,mem0,3,1206,9216,48,48,92.809,0.130859,0
debian-logo.png,mem0,4,1206,9216,48,48,88.409,0.130859,0
folder.png,mem0,0,179,1024,16,16,43.179,0.174805,0
folder.png,mem0,1,179,1024,16,16,36.628,0.174805,0
folder.png,mem0,2,179,1024,16,16,38.380,0.174805,0
folder.png,mem0,3,179,1024,16,16,36.008,0.174805,0
folder.png,mem0,4,179,1024,16,16,35.492,0.174805,0
funny-german-shepherd-dog-3d-illustration.png,mem0,0,8143502,74334520,4238,4385,327647.402,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,mem0,1,8143502,74334520,4238,4385,328957.241,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,mem0,2,8143502,74334520,4238,4385,315918.531,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,mem0,3,8143502,74334520,4238,4385,303833.996,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,mem0,4,8143502,74334520,4238,4385,304123.230,0.109552,0
icons8-c++-480.png,mem0,0,16002,921600,480,480,2534.671,0.017363,0
icons8-c++-480.png,mem0,1,16002,921600,480,480,2378.620,0.017363,0
icons8-c++-480.png,mem0,2,16002,921600,480,480,2309.381,0.017363,0
icons8-c++-480.png,mem0,3,16002,921600,480,480,2299.509,0.017363,0
icons8-c++-480.png,mem0,4,16002,921600,480,480,2753.645,0.017363,0
rust-logo-256x256-blk.png,mem0,0,5591,262144,256,256,579.463,0.021328,0
rust-logo-256x256-blk.png,mem0,1,5591,262144,256,256,498.286,0.021328,0
rust-logo-256x256-blk.png,mem0,2,5591,262144,256,256,518.260,0.021328,0
rust-logo-256x256-blk.png,mem0,3,5591,262144,256,256,504.105,0.021328,0
rust-logo-256x256-blk.png,mem0,4,5591,262144,256,256,546.585,0.021328,0
ubuntu-logo-text.png,mem0,0,5278,94640,260,91,352.579,0.055769,0
ubuntu-logo-text.png,mem0,1,5278,94640,260,91,338.375,0.055769,0
ubuntu-logo-text.png,mem0,2,5278,94640,260,91,357.219,0.055769,0
ubuntu-logo-text.png,mem0,3,5278,94640,260,91,375.977,0.055769,0
ubuntu-logo-text.png,mem0,4,5278,94640,260,91,343.885,0.055769,0
user-home.png,mem0,0,202,1024,16,16,81.692,0.197266,0
user-home.png,mem0,1,202,1024,16,16,52.489,0.197266,0
user-home.png,mem0,2,202,1024,16,16,51.282,0.197266,0
user-home.png,mem0,3,202,1024,16,16,49.045,0.197266,0
user-home.png,mem0,4,202,1024,16,16,49.546,0.197266,0
