file,png_bytes,decoded_bytes,width,height,compression_ratio,mem0_us_median,sfi_us_median,sfi_over_mem0
ps2n2c16.png,2484,4096,32,32,0.606445,339.322,,
s01i3p01.png,113,4,1,1,28.250000,267.014,,
s01n3p01.png,113,4,1,1,28.250000,292.475,,
s02i3p01.png,114,16,2,2,7.125000,264.462,,
s02n3p01.png,115,16,2,2,7.187500,217.478,,
s03i3p01.png,118,36,3,3,3.277778,177.135,,
s03n3p01.png,120,36,3,3,3.333333,150.751,,
s04i3p01.png,126,64,4,4,1.968750,153.260,,
s04n3p01.png,121,64,4,4,1.890625,138.598,,
s05i3p02.png,134,100,5,5,1.340000,154.525,,
s05n3p02.png,129,100,5,5,1.290000,137.304,,
s06i3p02.png,143,144,6,6,0.993056,143.833,,
s06n3p02.png,131,144,6,6,0.909722,187.711,,
s07i3p02.png,149,196,7,7,0.760204,185.254,,
s07n3p02.png,138,196,7,7,0.704082,141.865,,
s08i3p02.png,149,256,8,8,0.582031,139.414,,
s08n3p02.png,139,256,8,8,0.542969,119.755,,
s09i3p02.png,147,324,9,9,0.453704,126.105,,
s09n3p02.png,143,324,9,9,0.441358,122.954,,
s32i3p04.png,355,4096,32,32,0.086670,134.657,,
s32n3p04.png,263,4096,32,32,0.064209,122.743,,
s33i3p04.png,385,4356,33,33,0.088384,124.924,,
s33n3p04.png,329,4356,33,33,0.075528,114.434,,
s34i3p04.png,349,4624,34,34,0.075476,130.019,,
s34n3p04.png,248,4624,34,34,0.053633,121.938,,
s35i3p04.png,399,4900,35,35,0.081429,124.116,,
s35n3p04.png,338,4900,35,35,0.068980,115.426,,
s36i3p04.png,356,5184,36,36,0.068673,129.797,,
s36n3p04.png,258,5184,36,36,0.049769,110.413,,
s37i3p04.png,393,5476,37,37,0.071768,161.721,,
s37n3p04.png,336,5476,37,37,0.061359,131.365,,
s38i3p04.png,357,5776,38,38,0.061807,130.248,,
s38n3p04.png,245,5776,38,38,0.042417,109.724,,
s39i3p04.png,420,6084,39,39,0.069034,129.854,,
s39n3p04.png,352,6084,39,39,0.057857,107.710,,
s40i3p04.png,357,6400,40,40,0.055781,125.025,,
s40n3p04.png,256,6400,40,40,0.040000,119.415,,
tbbn0g04.png,429,4096,32,32,0.104736,110.167,,
tbbn2c16.png,2041,4096,32,32,0.498291,151.956,,
tbbn3p08.png,1499,4096,32,32,0.365967,107.313,,
tbgn2c16.png,2041,4096,32,32,0.498291,147.146,,
tbgn3p08.png,1499,4096,32,32,0.365967,106.837,,
tbrn2c08.png,1633,4096,32,32,0.398682,124.414,,
tbwn0g16.png,1313,4096,32,32,0.320557,124.635,,
tbwn3p08.png,1496,4096,32,32,0.365234,115.237,,
tbyn3p08.png,1499,4096,32,32,0.365967,114.935,,
tm3n3p02.png,116,4096,32,32,0.028320,77.241,,
tp0n0g08.png,719,4096,32,32,0.175537,111.407,,
tp0n2c08.png,1594,4096,32,32,0.389160,141.706,,
tp0n3p08.png,1476,4096,32,32,0.360352,105.520,,
tp1n3p08.png,1483,4096,32,32,0.362061,109.789,,
z00n2c08.png,3172,4096,32,32,0.774414,92.358,,
z03n2c08.png,232,4096,32,32,0.056641,93.043,,
z06n2c08.png,224,4096,32,32,0.054688,88.579,,
z09n2c08.png,224,4096,32,32,0.054688,86.970,,
